item_id,title,categories,my_rating,short_review
1,Northbound,"series,animation,family,cerebral",6,Pure escapism — exactly what I needed.
2,Satellite Static,"song,comedy,feel-good,dark",8,"Strong start, weaker finish — still glad I tried it."
3,The Weight of Water,"book,music,indie,lyrical,nostalgic",8,"Strong start, weaker finish — still glad I tried it."
4,Golden Hour Drive,"song,mystery,psychological,motivational",7,Honestly better than I expected — stayed with me for days.
5,The Archive Room,"series,comedy,feel-good,slow-burn",5,Watched this twice; still finding new details.
6,Small Hours,"series,drama,character-study,nostalgic",4,A bit uneven in the middle but the ending landed hard.
7,Deep Work in a Distracted World (talk),"youtube,war,historical,dark",10,I keep coming back to this one.
8,Neon Drift,"movie,horror,suspense,nostalgic",8,Exactly my vibe when I need something thoughtful.
9,The Quiet Ledger,"movie,animation,family,cerebral",5,Watched this twice; still finding new details.
10,Midnight in Oslo,"movie,sci-fi,philosophy,dark",4,Underrated gem in my rotation.
11,Signal Nine,"series,biography,inspirational,fast-paced",3,Would recommend if you like biography with a personal touch.
12,Maps We Burn,"book,indie,experimental,cerebral",6,Watched this twice; still finding new details.
13,Steel Harbor,"movie,sci-fi,mystery,slow-burn",10,Watched this twice; still finding new details.
14,Neon Cathedral,"song,sports,drama,nostalgic",10,"Overhyped for me, but I get why people love it."
15,Slow Lightning,"book,drama,character-study,nostalgic",8,"Mixed feelings: great drama, messy pacing."
16,Echoes of Tomorrow,"movie,crime,noir,motivational",7,"Overhyped for me, but I get why people love it."
17,How I Learned to Code in 6 Months,"youtube,war,historical,nostalgic",8,Pure escapism — exactly what I needed.
18,Paper Planes,"movie,sports,drama,cerebral",7,I keep coming back to this one.
19,Letters from the Edge,"book,youtube,productivity,self-improvement,nostalgic",10,"Some parts dragged, yet the highlights are worth it."
20,The Last Lighthouse,"movie,musical,emotion,fast-paced",10,Honestly better than I expected — stayed with me for days.
21,The Psychology of Habits — Explained Simply,"youtube,comedy,feel-good,motivational",9,I keep coming back to this one.
22,Paper Hearts,"song,comedy,feel-good,nostalgic",10,Instant comfort watch / listen for me.
23,Copper Street,"series,horror,suspense,fast-paced",9,Watched this twice; still finding new details.
24,Minimal Desk Setup Tour 2025,"youtube,sci-fi,mystery,fast-paced",6,A bit uneven in the middle but the ending landed hard.
25,Why We Procrastinate (and What Helps) (1),"youtube,drama,character-study,cozy",1,A bit uneven in the middle but the ending landed hard.
26,Midnight Metro,"song,romance,drama,nostalgic",9,Watched this twice; still finding new details.
27,Velvet Run,"movie,youtube,tech,motivational,motivational",8,"Some parts dragged, yet the highlights are worth it."
28,After the Flood,"series,animation,family,dark",5,"Some parts dragged, yet the highlights are worth it."
29,Deep Work in a Distracted World (talk) (1),"youtube,sci-fi,philosophy,cozy",6,Watched this twice; still finding new details.
30,The Habits of Rivers,"book,biography,inspirational,nostalgic",3,Underrated gem in my rotation.
31,The Long Weekend,"series,sci-fi,philosophy,motivational",4,Honestly better than I expected — stayed with me for days.
32,Parallel Lines,"series,sports,drama,fast-paced",8,Exactly my vibe when I need something thoughtful.
33,Cold Signal,"movie,drama,character-study,cerebral",8,A bit uneven in the middle but the ending landed hard.
34,Echo Chamber Blues (1),"song,music,indie,lyrical,motivational",6,"Some parts dragged, yet the highlights are worth it."
35,Satellite Static (1),"song,comedy,feel-good,cerebral",10,Honestly better than I expected — stayed with me for days.
36,How I Learned to Code in 6 Months (1),"youtube,music,indie,lyrical,motivational",10,This hit different; felt surprisingly personal.
37,The Psychology of Habits — Explained Simply (1),"youtube,mystery,psychological,slow-burn",1,"Overhyped for me, but I get why people love it."
38,Night School for Dreamers,"book,crime,noir,nostalgic",8,"Overhyped for me, but I get why people love it."
39,Minimal Desk Setup Tour 2025 (1),"youtube,biography,inspirational,fast-paced",8,Honestly better than I expected — stayed with me for days.
40,Blue Hour,"series,indie,experimental,cerebral",1,A bit uneven in the middle but the ending landed hard.
41,Salt and Syntax (1),"book,sci-fi,philosophy,nostalgic",6,Pure escapism — exactly what I needed.
42,The Weight of Water (1),"book,musical,emotion,motivational",5,"Not perfect, but the musical energy is undeniable."
43,Maps We Burn (1),"book,documentary,real-life,fast-paced",6,"Not perfect, but the documentary energy is undeniable."
44,Garden of Faults (1),"movie,music,indie,lyrical,dark",6,"Overhyped for me, but I get why people love it."
45,Slow Lightning (1),"book,sci-fi,philosophy,slow-burn",1,Pure escapism — exactly what I needed.
46,Letters from the Edge (1),"book,horror,suspense,slow-burn",8,Underrated gem in my rotation.
47,The Workshop (1),"series,sci-fi,philosophy,nostalgic",10,Watched this twice; still finding new details.
48,Golden Hour Drive (1),"song,crime,noir,nostalgic",7,"Strong start, weaker finish — still glad I tried it."
49,The Habits of Rivers (1),"book,war,historical,slow-burn",4,A bit uneven in the middle but the ending landed hard.
50,Northbound (1),"series,youtube,productivity,self-improvement,dark",8,Would recommend if you like youtube with a personal touch.
51,Why We Procrastinate (and What Helps) (2),"youtube,horror,suspense,cozy",1,Underrated gem in my rotation.
52,Night School for Dreamers (1),"book,indie,experimental,cerebral",8,Honestly better than I expected — stayed with me for days.
53,The Archive Room (1),"series,comedy,feel-good,motivational",3,Pure escapism — exactly what I needed.
54,Neon Drift (1),"movie,horror,suspense,cerebral",9,This hit different; felt surprisingly personal.
55,Deep Work in a Distracted World (talk) (2),"youtube,sci-fi,philosophy,nostalgic",6,"Not perfect, but the sci-fi energy is undeniable."
56,The Quiet Ledger (1),"movie,musical,emotion,dark",1,Pure escapism — exactly what I needed.
57,Midnight in Oslo (1),"movie,musical,emotion,nostalgic",8,A bit uneven in the middle but the ending landed hard.
58,Steel Harbor (1),"movie,musical,emotion,dark",7,This hit different; felt surprisingly personal.
59,Small Hours (1),"series,horror,suspense,nostalgic",4,Pure escapism — exactly what I needed.
60,Signal Nine (1),"series,youtube,productivity,self-improvement,motivational",9,I keep coming back to this one.
61,Echoes of Tomorrow (1),"movie,youtube,productivity,self-improvement,dark",8,I keep coming back to this one.
62,Copper Street (1),"series,romance,drama,slow-burn",10,A bit uneven in the middle but the ending landed hard.
63,Paper Planes (1),"movie,youtube,tech,motivational,dark",9,Watched this twice; still finding new details.
64,Neon Cathedral (1),"song,fantasy,adventure,dark",5,"Not perfect, but the fantasy energy is undeniable."
65,The Last Lighthouse (1),"movie,romance,drama,nostalgic",8,"Some parts dragged, yet the highlights are worth it."
66,Paper Hearts (1),"song,crime,noir,slow-burn",5,Would recommend if you like crime with a personal touch.
67,After the Flood (1),"series,mystery,psychological,fast-paced",8,Would recommend if you like mystery with a personal touch.
68,Salt and Syntax (2),"book,action,thriller,motivational",5,Exactly my vibe when I need something different.
69,Midnight Metro (1),"song,sports,drama,slow-burn",10,"Some parts dragged, yet the highlights are worth it."
70,The Long Weekend (1),"series,musical,emotion,cozy",5,This hit different; felt surprisingly personal.
71,Velvet Run (1),"movie,mystery,psychological,motivational",10,Watched this twice; still finding new details.
72,The Weight of Water (2),"book,animation,family,motivational",6,"Strong start, weaker finish — still glad I tried it."
73,Cold Signal (1),"movie,sci-fi,philosophy,cozy",8,Underrated gem in my rotation.
74,Garden of Faults (2),"movie,fantasy,adventure,slow-burn",8,Pure escapism — exactly what I needed.
75,Neon Drift (2),"movie,crime,noir,cerebral",8,Underrated gem in my rotation.
76,Echo Chamber Blues (2),"song,biography,inspirational,cerebral",9,Would recommend if you like biography with a personal touch.
77,How I Learned to Code in 6 Months (2),"youtube,youtube,tech,motivational,cozy",8,Watched this twice; still finding new details.
78,Parallel Lines (1),"series,youtube,productivity,self-improvement,cozy",3,Underrated gem in my rotation.
79,The Psychology of Habits — Explained Simply (2),"youtube,documentary,real-life,cerebral",7,"Strong start, weaker finish — still glad I tried it."
80,Maps We Burn (2),"book,action,thriller,slow-burn",9,I keep coming back to this one.
81,Slow Lightning (2),"book,sports,drama,cerebral",7,Instant comfort watch / listen for me.
82,Minimal Desk Setup Tour 2025 (2),"youtube,indie,experimental,cozy",9,I keep coming back to this one.
83,Letters from the Edge (2),"book,documentary,real-life,cozy",10,"Overhyped for me, but I get why people love it."
84,Why We Procrastinate (and What Helps) (3),"youtube,music,indie,lyrical,slow-burn",8,"Overhyped for me, but I get why people love it."
85,The Habits of Rivers (2),"book,biography,inspirational,nostalgic",4,Honestly better than I expected — stayed with me for days.
86,Night School for Dreamers (2),"book,drama,character-study,nostalgic",3,"Mixed feelings: great drama, messy pacing."
87,Deep Work in a Distracted World (talk) (3),"youtube,sci-fi,mystery,fast-paced",10,This hit different; felt surprisingly personal.
88,The Quiet Ledger (2),"movie,fantasy,adventure,cozy",7,"Some parts dragged, yet the highlights are worth it."
89,Salt and Syntax (3),"book,romance,drama,nostalgic",6,Pure escapism — exactly what I needed.
90,The Weight of Water (3),"book,comedy,feel-good,dark",6,I keep coming back to this one.
91,Satellite Static (2),"song,mystery,psychological,fast-paced",8,Pure escapism — exactly what I needed.
92,Maps We Burn (3),"book,comedy,feel-good,fast-paced",9,"Overhyped for me, but I get why people love it."
93,Midnight in Oslo (2),"movie,mystery,psychological,cerebral",7,This hit different; felt surprisingly personal.
94,Blue Hour (1),"series,mystery,psychological,fast-paced",6,Instant comfort watch / listen for me.
95,The Workshop (2),"series,documentary,real-life,cozy",5,"Not perfect, but the documentary energy is undeniable."
96,Northbound (2),"series,romance,drama,dark",8,Instant comfort watch / listen for me.
97,Slow Lightning (3),"book,romance,drama,slow-burn",8,"Not perfect, but the romance energy is undeniable."
98,Steel Harbor (2),"movie,romance,drama,slow-burn",10,A bit uneven in the middle but the ending landed hard.
99,Golden Hour Drive (2),"song,horror,suspense,nostalgic",10,Exactly my vibe when I need something thoughtful.
100,Echoes of Tomorrow (2),"movie,fantasy,adventure,motivational",9,"Strong start, weaker finish — still glad I tried it."
101,How I Learned to Code in 6 Months (3),"youtube,indie,experimental,fast-paced",9,"Some parts dragged, yet the highlights are worth it."
102,Paper Planes (2),"movie,sports,drama,cozy",10,"Some parts dragged, yet the highlights are worth it."
103,The Archive Room (2),"series,war,historical,motivational",2,I keep coming back to this one.
104,Small Hours (2),"series,youtube,tech,motivational,dark",5,"Strong start, weaker finish — still glad I tried it."
105,Letters from the Edge (3),"book,sci-fi,philosophy,dark",6,Instant comfort watch / listen for me.
106,The Last Lighthouse (2),"movie,romance,drama,slow-burn",6,"Some parts dragged, yet the highlights are worth it."
107,The Psychology of Habits — Explained Simply (3),"youtube,crime,noir,cozy",7,Underrated gem in my rotation.
108,Velvet Run (2),"movie,documentary,real-life,dark",6,This hit different; felt surprisingly personal.
109,Signal Nine (2),"series,sci-fi,philosophy,motivational",6,This hit different; felt surprisingly personal.
110,Cold Signal (2),"movie,action,thriller,motivational",6,"Mixed feelings: great action, messy pacing."
111,Neon Cathedral (2),"song,indie,experimental,nostalgic",9,Would recommend if you like indie with a personal touch.
112,Copper Street (2),"series,fantasy,adventure,fast-paced",9,"Not perfect, but the fantasy energy is undeniable."
113,Garden of Faults (3),"movie,youtube,productivity,self-improvement,slow-burn",5,Honestly better than I expected — stayed with me for days.
114,After the Flood (2),"series,sci-fi,philosophy,motivational",2,Watched this twice; still finding new details.
115,Neon Drift (3),"movie,sci-fi,mystery,dark",1,I keep coming back to this one.
116,The Quiet Ledger (3),"movie,action,thriller,nostalgic",8,This hit different; felt surprisingly personal.
117,Minimal Desk Setup Tour 2025 (3),"youtube,horror,suspense,nostalgic",10,A bit uneven in the middle but the ending landed hard.
118,Why We Procrastinate (and What Helps) (4),"youtube,sports,drama,nostalgic",7,I keep coming back to this one.
119,Midnight in Oslo (3),"movie,musical,emotion,nostalgic",8,Underrated gem in my rotation.
120,Steel Harbor (3),"movie,comedy,feel-good,dark",5,A bit uneven in the middle but the ending landed hard.
121,Paper Hearts (2),"song,sports,drama,motivational",3,"Overhyped for me, but I get why people love it."
122,Echoes of Tomorrow (3),"movie,youtube,tech,motivational,fast-paced",1,A bit uneven in the middle but the ending landed hard.
123,The Long Weekend (2),"series,sports,drama,cozy",4,A bit uneven in the middle but the ending landed hard.
124,The Habits of Rivers (3),"book,biography,inspirational,dark",6,I keep coming back to this one.
125,Paper Planes (3),"movie,sports,drama,dark",10,"Some parts dragged, yet the highlights are worth it."
126,Night School for Dreamers (3),"book,musical,emotion,motivational",7,Honestly better than I expected — stayed with me for days.
127,Salt and Syntax (4),"book,youtube,productivity,self-improvement,dark",7,Would recommend if you like youtube with a personal touch.
128,The Last Lighthouse (3),"movie,indie,experimental,cozy",8,Underrated gem in my rotation.
129,Parallel Lines (2),"series,mystery,psychological,cozy",10,I keep coming back to this one.
130,Deep Work in a Distracted World (talk) (4),"youtube,war,historical,fast-paced",8,This hit different; felt surprisingly personal.
131,Blue Hour (2),"series,animation,family,slow-burn",4,"Not perfect, but the animation energy is undeniable."
132,The Weight of Water (4),"book,indie,experimental,nostalgic",6,This hit different; felt surprisingly personal.
133,The Workshop (3),"series,youtube,tech,motivational,slow-burn",9,Exactly my vibe when I need something thoughtful.
134,Midnight Metro (2),"song,war,historical,nostalgic",9,Would recommend if you like war with a personal touch.
135,How I Learned to Code in 6 Months (4),"youtube,animation,family,cerebral",7,"Strong start, weaker finish — still glad I tried it."
136,Northbound (3),"series,action,thriller,cerebral",1,Watched this twice; still finding new details.
137,The Archive Room (3),"series,youtube,productivity,self-improvement,fast-paced",6,Underrated gem in my rotation.
138,Velvet Run (3),"movie,war,historical,cozy",7,I keep coming back to this one.
139,Cold Signal (3),"movie,action,thriller,motivational",9,Underrated gem in my rotation.
140,Garden of Faults (4),"movie,romance,drama,slow-burn",7,Instant comfort watch / listen for me.
141,Maps We Burn (4),"book,sci-fi,philosophy,cerebral",10,"Strong start, weaker finish — still glad I tried it."
142,Neon Drift (4),"movie,crime,noir,slow-burn",7,"Not perfect, but the crime energy is undeniable."
143,Echo Chamber Blues (3),"song,animation,family,nostalgic",8,Would recommend if you like animation with a personal touch.
144,The Quiet Ledger (4),"movie,comedy,feel-good,cozy",8,Exactly my vibe when I need something thoughtful.
145,Midnight in Oslo (4),"movie,fantasy,adventure,nostalgic",5,Underrated gem in my rotation.
146,Small Hours (3),"series,sports,drama,dark",7,A bit uneven in the middle but the ending landed hard.
147,Signal Nine (3),"series,fantasy,adventure,slow-burn",8,"Not perfect, but the fantasy energy is undeniable."
148,Copper Street (3),"series,action,thriller,cozy",7,Honestly better than I expected — stayed with me for days.
149,Steel Harbor (4),"movie,drama,character-study,cerebral",8,"Overhyped for me, but I get why people love it."
150,Echoes of Tomorrow (4),"movie,war,historical,motivational",6,"Not perfect, but the war energy is undeniable."
